,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
359,Magadan,RU,1614148505,59.5667,150.8,1.29,71,0,5.7
360,Maniitsoq,GL,1614148505,65.4167,-52.9,14.43,67,0,4.74
361,Manicoré,BR,1614148505,-5.8092,-61.3003,75.2,100,96,2.3
362,Merauke,ID,1614148505,-8.4667,140.3333,82.99,73,100,6.98
363,Kargopol',RU,1614148506,61.5071,38.9456,2.48,92,100,9.33
364,Cabra,ES,1614148506,37.4725,-4.4421,41.0,93,0,5.75
365,Luoyang,CN,1614148210,34.6836,112.4536,39.99,99,100,14.7
366,Chimbote,PE,1614148349,-9.0853,-78.5783,69.76,79,100,3.83
367,Hofn,IS,1614148506,64.2539,-15.2082,40.19,78,23,12.12
368,Nagato,JP,1614148288,34.3833,131.2,51.8,57,75,6.91
369,Bereda,ES,1614148507,43.2686,-7.5406,55.99,54,0,9.22
370,Kiryat Gat,IL,1614148383,31.61,34.7642,59.0,53,0,1.01
371,Mosetse,BW,1614148507,-20.75,26.65,74.3,72,97,8.3
372,Ballina,AU,1614148236,-28.8667,153.5667,73.4,94,90,9.22
373,Narasannapeta,IN,1614148508,18.4167,84.05,90.54,27,0,9.71
374,Hambantota,LK,1614148508,6.1241,81.1185,89.6,62,20,6.91
375,Turukhansk,RU,1614148508,65.8167,87.9833,-23.26,82,77,3.67
376,Penzance,GB,1614148508,50.1186,-5.5371,53.6,87,75,21.85
377,Comodoro Rivadavia,AR,1614148508,-45.8667,-67.5,71.6,40,0,14.97
378,Qidong,CN,1614148509,31.8128,121.6561,57.99,63,0,5.99
379,Kavieng,PG,1614148509,-2.5744,150.7967,81.43,79,93,12.26
380,Tomatlán,MX,1614148509,19.9333,-105.25,65.59,74,32,1.97
381,Umeå,SE,1614148509,63.8284,20.2597,30.2,100,90,12.66
382,Bonthe,SL,1614148510,7.5264,-12.505,76.6,92,10,4.56
383,Vila,PT,1614148510,42.0304,-8.1588,46.99,72,0,3.0
384,Yuancheng,CN,1614148510,36.652,107.7896,36.0,90,100,4.76
385,Nador,MA,1614148510,35.174,-2.9287,59.0,82,90,9.22
386,Carutapera,BR,1614148511,-1.195,-46.02,75.87,92,2,4.36
387,Biak,ID,1614148511,-0.9131,122.8766,85.03,68,92,2.89
388,Palmdale,US,1614148511,34.5794,-118.1165,53.01,34,42,1.01
389,Yashkul',RU,1614148511,46.1711,45.3435,3.49,82,0,9.95
390,Yenagoa,NG,1614148269,4.9247,6.2642,79.14,82,100,4.27
391,Gelibolu,TR,1614148512,40.4103,26.6708,39.2,87,0,9.22
392,Caceres,ES,1614148512,39.522,-6.3748,43.0,86,0,1.01
393,Sabha,LY,1614148512,27.0377,14.4283,52.52,51,0,15.28
394,San Quintín,MX,1614148513,30.4833,-115.95,58.48,66,100,7.54
395,Banska Bystrica,SK,1614148513,48.5,19.5,45.52,69,2,4.38
396,Yerbogachën,RU,1614148513,61.2767,108.0108,-7.28,85,100,1.01
397,Verkhnevilyuysk,RU,1614148514,63.4453,120.3167,-14.28,88,93,4.25
398,Santa Cruz de la Sierra,BO,1614148514,-17.8,-63.1667,75.2,94,12,2.3
399,Turinsk,RU,1614148514,58.0458,63.696,-15.52,86,100,17.72
400,Tjøme,NO,1614148514,59.1109,10.3933,39.2,100,90,16.11
401,Nevşehir,TR,1614148514,38.9167,34.6667,32.0,74,0,5.75
402,Palana,RU,1614148515,59.1167,159.9667,-5.3,85,0,16.75
403,Atasū,KZ,1614148515,48.6814,71.6433,0.57,84,100,23.09
404,Sarāhan,IN,1614148515,31.5167,77.8,57.22,32,0,6.29
405,Pathein,MM,1614148515,16.7833,94.7333,94.87,22,100,11.61
406,Peruíbe,BR,1614148516,-24.32,-46.9983,73.76,85,49,3.76
407,Meadow Lake,US,1614148516,34.8014,-106.5436,46.4,34,20,5.75
408,Złotoryja,PL,1614148516,51.1264,15.9198,48.99,70,0,5.32
409,Coyhaique,CL,1614148516,-45.5752,-72.0662,55.4,76,0,5.75
410,Beidao,CN,1614148343,34.5686,105.8933,39.99,42,70,1.99
411,Gornoye Loo,RU,1614148517,43.7129,39.6049,39.2,70,20,8.95
412,La Ronge,CA,1614148517,55.1001,-105.2842,15.8,79,87,2.3
413,Cotonou,BJ,1614148250,6.3654,2.4183,80.6,89,40,5.75
414,Fomboni,KM,1614148517,-12.28,43.7425,83.17,74,100,12.46
415,Waddān,LY,1614148518,29.1614,16.139,51.26,71,35,9.22
416,Alugan,PH,1614148518,12.2188,125.4808,82.13,73,93,9.35
417,Elizabeth City,US,1614148518,36.2946,-76.2511,48.2,66,1,6.91
418,Kīhei,US,1614148518,20.785,-156.4656,73.4,68,20,16.11
419,Antalaha,MG,1614148518,-14.9003,50.2788,84.88,62,63,3.71
420,Mokhsogollokh,RU,1614148519,61.4681,128.9203,-12.66,92,100,2.26
421,Savonlinna,FI,1614148519,61.8699,28.88,10.4,85,90,3.44
422,Bousso,TD,1614148519,10.4795,16.7117,75.16,18,90,8.77
423,Itapaci,BR,1614148519,-14.9508,-49.5494,68.52,94,77,1.7
424,Makakilo City,US,1614148519,21.3469,-158.0858,75.2,64,1,5.75
425,Florø,NO,1614148520,61.5996,5.0328,46.4,87,75,29.93
426,Ust'-Karsk,RU,1614148520,52.7011,118.8077,6.93,87,100,4.18
427,Manbij,SY,1614148520,36.5281,37.9549,51.8,35,0,12.66
428,Sharlyk,RU,1614148520,52.9167,54.75,-12.89,85,100,25.28
429,Balangbalang,PH,1614148520,9.0569,125.6228,85.69,68,64,3.36
430,Porto Recanati,IT,1614148521,43.4365,13.6613,51.01,10,0,1.99
431,Banjar,ID,1614148521,-8.19,114.9675,86.0,70,40,8.05
432,Cap-aux-Meules,CA,1614148521,47.3821,-61.8597,30.2,93,100,18.41
433,Paka,MY,1614148521,4.6374,103.4368,86.0,62,20,12.66
434,Vanimo,PG,1614148522,-2.6741,141.3028,80.92,83,100,10.45
435,Ḩasanābād,IR,1614148522,36.5465,61.0543,35.6,80,99,9.22
436,Kabare,CD,1614148522,-2.4683,28.8242,66.9,83,95,2.82
437,Conde,BR,1614148522,-7.2597,-34.9075,77.0,94,40,2.3
438,Najrān,SA,1614148523,17.4924,44.1277,73.4,35,40,6.38
439,Cayenne,GF,1614148523,4.9333,-52.3333,77.0,100,75,13.94
440,Chipata,ZM,1614148523,-13.6333,32.65,67.32,90,100,3.76
441,Vigrestad,NO,1614148524,58.5667,5.7,46.4,93,75,16.11
442,Dongfeng,CN,1614148524,42.6403,125.5118,31.06,67,1,8.01
443,Brae,GB,1614148524,60.3964,-1.353,46.4,87,0,20.71
444,Balagansk,RU,1614148525,54.0103,103.0544,9.21,83,97,0.54
445,Los Llanos de Aridane,ES,1614148525,28.6585,-17.9182,64.4,59,0,12.66
446,Cairns,AU,1614148525,-16.9167,145.7667,89.6,55,40,18.41
447,Shakhtinsk,KZ,1614148525,49.71,72.5872,1.4,71,40,24.61
448,Margate,GB,1614148231,51.3813,1.3862,55.0,71,100,5.01
449,Kharan,PK,1614148526,28.5833,65.4167,77.95,20,0,5.7
450,Havre-St-Pierre,CA,1614148526,50.2334,-63.5986,21.2,93,90,4.61
451,Kudat,MY,1614148526,6.8837,116.8477,82.4,74,20,11.5
452,Yelizovo,RU,1614148526,53.1873,158.3805,28.4,54,95,6.71
453,Jabonga,PH,1614148526,9.3431,125.5156,84.56,68,64,4.09
454,Oriximiná,BR,1614148527,-1.7656,-55.8661,73.26,94,62,3.51
455,Heihe,CN,1614148527,50.2441,127.4902,5.0,39,0,4.47
456,Arrondissement de Saint-Denis,FR,1614148286,48.9167,2.3333,50.0,87,0,10.36
457,Malakal,SS,1614148527,9.5334,31.6605,83.23,14,0,14.43
458,Epe,NG,1614148528,6.5841,3.9834,77.58,84,8,2.15
459,Yinchuan,CN,1614148528,38.4681,106.2731,53.67,40,28,9.84
460,Pop,UZ,1614148528,40.8736,71.1089,44.6,65,90,9.22
461,Gao,ML,1614148528,16.6362,1.637,65.14,8,0,10.69
462,‘Āhuimanu,US,1614148529,21.4447,-157.8378,77.0,65,90,16.11
463,Salinas,US,1614148524,36.6777,-121.6555,51.8,71,1,2.17
464,Elk Plain,US,1614148529,47.0532,-122.3976,37.4,93,90,4.61
465,Taywarah,AF,1614148529,33.35,64.4167,43.16,54,8,9.71
466,Gweta,BW,1614148529,-20.1833,25.2333,74.68,72,27,11.12
467,Hammerfest,NO,1614148530,70.6634,23.6821,26.6,86,0,5.75
468,Mahabalipuram,IN,1614148530,12.6264,80.1722,87.8,51,20,8.43
469,Tabas,IR,1614148530,33.5959,56.9244,64.11,23,0,10.96
470,Mikumi,TZ,1614148530,-7.4041,36.9831,75.43,82,100,2.15
471,Chapais,CA,1614148531,49.7834,-74.8492,21.2,86,90,17.27
472,Teya,RU,1614148531,60.3778,92.6267,-4.23,81,93,1.28
473,Rognan,NO,1614148531,67.0953,15.3878,39.2,70,75,14.97
474,Zhezkazgan,KZ,1614148531,47.8043,67.7144,-11.2,77,75,33.55
475,Port-Gentil,GA,1614148531,-0.7193,8.7815,75.2,88,90,17.27
476,Bara,NG,1614148532,10.3744,10.7288,71.83,21,7,8.39
477,Waipawa,NZ,1614148532,-41.4122,175.5153,69.8,60,75,19.57
478,Erzin,TR,1614148532,36.9559,36.2,59.0,32,0,11.99
479,Samarai,PG,1614148532,-10.6167,150.6667,79.5,86,100,8.37
480,Alta Floresta,BR,1614148533,-9.8756,-56.0861,70.07,97,100,2.1
481,Batagay,RU,1614148533,67.6333,134.6333,-25.26,94,67,0.76
482,Ust-Kuyga,RU,1614148533,70.0167,135.6,-30.48,93,13,1.81
483,Verkhoyansk,RU,1614148500,67.5447,133.385,-23.78,82,81,0.65
484,Antofagasta,CL,1614148348,-23.65,-70.4,62.6,82,0,2.3
485,Junín,AR,1614148534,-34.5838,-60.9433,57.99,42,0,4.65
486,Korla,CN,1614148534,41.7597,86.1469,51.69,44,0,10.18
487,Faya,SA,1614148534,18.3851,42.4509,62.6,63,20,17.27
488,Stykkisholmur,IS,1614148534,65.0757,-22.7297,33.31,93,64,7.67
489,Jinchang,CN,1614148534,38.4953,102.1739,43.84,53,100,11.34
490,Basco,PH,1614148535,20.4487,121.9702,74.71,88,98,21.65
491,Benalla,AU,1614148535,-36.55,145.9833,75.2,35,40,8.05
492,Matamoros,MX,1614148535,25.5333,-103.25,64.0,36,13,1.52
493,Saryozek,KZ,1614148535,44.3583,77.9753,37.13,80,100,17.22
494,Mombetsu,JP,1614148536,44.3525,143.3525,21.2,53,20,8.05
495,Sayyan,YE,1614148289,15.1718,44.3244,64.13,34,24,4.0
496,Gashua,NG,1614148536,12.871,11.0482,67.08,24,0,14.27
497,Yeppoon,AU,1614148536,-23.1333,150.7333,87.8,55,75,13.8
498,Berlevåg,NO,1614148536,70.8578,29.0864,28.4,74,0,16.11
499,Kavaratti,IN,1614148537,10.5669,72.642,82.58,63,6,3.18
500,Les Cayes,HT,1614148537,18.2,-73.75,73.94,81,14,4.9
501,Ballitoville,ZA,1614148323,-29.539,31.2144,79.0,73,0,8.05
502,Chumikan,RU,1614148537,54.7183,135.315,0.79,85,100,15.28
503,Saint-Pierre,RE,1614148538,-21.3393,55.4781,86.0,58,0,24.16
504,Shelburne,CA,1614148397,44.0787,-80.2041,28.0,92,100,8.25
505,Jalu,LY,1614148538,29.0331,21.5482,54.7,62,0,6.62
506,Skjervøy,NO,1614148538,70.0311,20.9714,28.4,69,75,13.8
507,Mandeville,JM,1614148538,18.0417,-77.5071,75.2,83,40,4.61
508,Novyy Urgal,RU,1614148331,51.0736,132.5642,-0.54,85,87,3.27
509,Aripuanã,BR,1614148539,-9.1667,-60.6333,72.93,98,88,1.21
510,Miranda,CO,1614148539,3.2499,-76.2281,68.0,88,40,4.61
511,Baculin,PH,1614148539,7.4525,126.5842,82.74,71,71,7.49
512,‘Ewa Beach,US,1614148539,21.3156,-158.0072,75.2,64,1,5.75
513,Santarém,BR,1614148540,-2.4431,-54.7083,78.8,89,0,8.05
514,La Ciotat,FR,1614148540,43.1748,5.6045,53.01,100,0,2.3
515,Srandakan,ID,1614148540,-7.9386,110.2506,76.01,93,100,10.09
516,Cachoeira,BR,1614148540,-12.6183,-38.9558,71.22,91,4,1.19
517,Merrill,US,1614148541,45.1805,-89.6835,34.0,100,90,5.17
518,Oyama,JP,1614148541,36.3,139.8,55.99,20,40,6.91
519,Huarmey,PE,1614148541,-10.0681,-78.1522,70.79,73,85,5.21
520,Eureka,US,1614148519,40.8021,-124.1637,46.99,89,0,15.19
521,Obigarm,TJ,1614148541,38.7173,69.7088,39.47,80,100,7.67
522,Manta,EC,1614148542,-0.95,-80.7333,77.0,88,75,6.91
523,São Borja,BR,1614148542,-28.6606,-56.0044,65.88,89,91,2.33
524,Tiarei,PF,1614148542,-17.5333,-149.3333,82.4,74,40,2.3
525,Río Gallegos,AR,1614148370,-51.6226,-69.2181,55.4,67,0,34.52
526,Tayoltita,MX,1614148542,24.0833,-105.9333,61.68,48,6,5.48
527,Baykit,RU,1614148337,61.67,96.37,-7.69,82,99,2.17
528,Kapuskasing,CA,1614148543,49.4169,-82.4331,21.2,79,100,5.75
529,Denpasar,ID,1614148515,-8.65,115.2167,86.0,70,40,8.05
530,Octeville,FR,1614148543,49.6261,-1.6435,53.01,71,0,17.27
531,Gudāri,IN,1614148543,19.35,83.7833,99.21,12,3,0.45
532,Igarka,RU,1614148543,67.4667,86.5833,-24.65,83,40,4.34
533,Namatanai,PG,1614148544,-3.6667,152.4333,80.46,81,100,8.21
534,Khunti,IN,1614148544,23.0833,85.2833,82.4,24,0,3.44
535,Blagoyevo,RU,1614148544,63.3667,47.9167,-3.23,90,100,4.23
536,Rio Grande,BR,1614148544,-32.035,-52.0986,65.43,61,0,3.33
537,Winnemucca,US,1614148545,40.973,-117.7357,33.8,60,1,4.61
538,Jaisalmer,IN,1614148545,26.9147,70.9181,88.65,14,0,11.97
539,Traiguén,CL,1614148545,-38.25,-72.6833,49.5,94,0,4.07
540,Salekhard,RU,1614148545,66.53,66.6019,-1.3,94,99,3.33
541,Orocué,CO,1614148545,4.7912,-71.3354,78.17,64,98,3.58
542,Nur,PL,1614148546,52.6683,22.3221,36.03,98,54,7.31
543,Povenets,RU,1614148546,62.8487,34.8262,7.92,94,100,8.77
544,Talara,PE,1614148546,-4.5772,-81.2719,73.22,78,20,10.8
545,Xunchang,CN,1614148546,28.4543,104.715,77.36,52,10,5.57
546,Itapeva,BR,1614148546,-23.9822,-48.8756,65.61,81,11,2.42
547,Arona,ES,1614148547,28.0996,-16.681,62.6,67,20,9.22
548,Ust-Maya,RU,1614148547,60.4167,134.5333,-14.82,90,100,2.28
549,Itarema,BR,1614148547,-2.9248,-39.9167,76.44,88,100,6.35
550,Port Lincoln,AU,1614148548,-34.7333,135.8667,63.73,55,0,12.91
551,La Peca,PE,1614148548,-5.6111,-78.435,67.87,85,100,1.77
552,Zyryanovsk,KZ,1614148548,49.7386,84.2719,25.9,95,100,1.39
553,Linguère,SN,1614148548,15.3953,-15.1193,71.6,53,0,6.91
554,Plettenberg Bay,ZA,1614148549,-34.0527,23.3716,70.34,60,0,5.55
555,Xichang,CN,1614148549,27.8964,102.2634,73.99,25,0,7.29
556,Matara,LK,1614148549,5.9485,80.5353,87.89,54,100,5.59
557,Apatou,GF,1614148550,5.155,-54.3472,72.18,97,100,1.68
558,Hamilton,US,1614148550,39.1834,-84.5333,39.2,56,75,8.05
559,Phek,IN,1614148550,25.6667,94.5,69.53,31,54,4.03
560,Martinópolis,BR,1614148550,-22.1458,-51.1708,75.2,73,0,2.3
561,Honiara,SB,1614148550,-9.4333,159.95,83.52,83,100,5.1
562,Bilibino,RU,1614148551,68.0546,166.4372,-21.19,84,95,2.19
563,Vestmannaeyjar,IS,1614148551,63.4427,-20.2734,41.0,87,20,16.11
564,Gal'bshtadt,RU,1614148551,53.2264,78.9845,31.15,99,100,12.91
565,Pará de Minas,BR,1614148551,-19.8603,-44.6083,66.2,82,0,3.44
566,Bhatkal,IN,1614148552,13.9667,74.5667,86.09,56,0,7.9
567,Ugoofaaru,MV,1614148552,5.6667,73.0,82.27,67,74,7.36
568,Baghdad,IQ,1614148388,33.3406,44.4009,46.4,57,0,3.44
569,Dingcheng,CN,1614148411,32.1272,115.0394,53.35,57,96,10.51
570,Gamba,GA,1614148552,-2.65,10.0,80.55,83,100,0.49
571,Saint-Augustin,CA,1614148553,51.226,-58.6502,21.99,97,100,11.16
572,Omboué,GA,1614148553,-1.5746,9.2618,80.47,81,99,0.96
573,Ibrā’,OM,1614148553,22.6906,58.5334,85.98,20,0,5.53
574,Pão de Açúcar,BR,1614148553,-9.7483,-37.4367,75.88,77,40,4.41
575,Fonte Boa,BR,1614148554,-2.4959,-66.2662,73.54,97,100,1.7
576,Panabá,MX,1614148554,21.2833,-88.2667,68.4,95,1,5.79
577,Marsh Harbour,BS,1614148554,26.5412,-77.0636,71.92,76,25,10.13
578,Wakema,MM,1614148554,16.6,95.1833,97.66,20,100,8.23
579,Anadyr,RU,1614148554,64.75,177.4833,-23.01,76,20,4.47
580,Namie,JP,1614148555,37.4833,141.0,44.01,36,51,14.05
581,Kupino,RU,1614148555,54.3663,77.2981,15.44,97,100,16.69
582,Roald,NO,1614148555,62.5833,6.1333,44.6,87,75,14.97
583,Mahon,ES,1614148555,39.8885,4.2658,50.0,100,0,5.75
584,Pestravka,RU,1614148556,52.405,49.9583,-12.84,85,0,18.25
585,Dinard,FR,1614148556,48.6314,-2.0614,51.8,82,0,13.8
586,Tonekābon,IR,1614148556,36.8163,50.8738,37.4,100,90,6.91
587,Sakakah,SA,1614148556,29.9697,40.2064,50.0,66,90,10.36
588,Presidencia Roque Sáenz Peña,AR,1614148557,-26.7852,-60.4388,75.0,79,17,1.99
589,Sarangani,PH,1614148557,5.4033,125.4636,82.67,79,60,19.77
590,Ulladulla,AU,1614148557,-35.35,150.4667,63.0,100,75,9.22
591,Lompoc,US,1614148557,34.6391,-120.4579,60.8,81,1,4.61
592,Pombas,CV,1614148557,17.1503,-25.0201,68.0,83,20,26.46
593,Íos,GR,1614148558,36.7333,25.2833,60.01,72,0,10.36
594,Calabozo,VE,1614148558,8.9242,-67.4293,76.35,73,100,9.17
595,Kirkenes,NO,1614148558,69.7271,30.0458,21.2,85,20,12.66
596,Iracoubo,GF,1614148558,5.4802,-53.2011,77.25,87,100,14.25
597,Marmande,FR,1614148559,44.5,0.1667,53.01,93,4,7.0
598,Ciudad del Maíz,MX,1614148372,22.4,-99.6,55.0,66,19,1.01
